#,App name,Dev name,Category,Link,Profiling,Analysis,Statistical,Marketing,Improving quality,Advertisements,Maintenance,Payment,Developing the new services,Research,Business/commercial,Survey,Treatment,Diagnosis,Booking,Testing/Troubleshooting,Identifying,Contacting,Delivery
1,30 beauty secrets for women,Xovato,Beauty,http://xovato.in/privacy.html,-,-,X,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-
2,artistry virtual beauty,Perfect Corp.,Beauty,https://www.beautycircle.com/info/privacy.action?bcCountry=en_US&bcLocale=en_US,-,-,X,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-
3,homemade beauty tips,musicoccean,Beauty,http://mp3any.net/offspringjava/privacy.html,-,-,X,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-
4,bob beauty lounge,BOB Beauty Lounge,Beauty,http://isalon.mobi/bob/page/2,-,-,X,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-
5,beauty and health tips - offline in english,Wallpaper Master Apps,Beauty,,,,,,,,,,,,,,,,,,,,
6,celebrity star hair beauty spa,Make-up Inc,Simulation,https://www.make-up-inc.com/privacy-policy,-,-,X,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-
7,"clean beauty - daily care - skin, hair, face, eyes",kiwiskings,Beauty,https://www.app-in-minutes.com/application/privacypolicy?id=5d3357abbb32e,-,-,X,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-
8,"daily beauty care - skin, hair, face, eyes",XT Apps,Beauty,http://xtandroid.com/PrivacyPolicy_DailyBeautyCare.html,-,-,X,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-
9,hey beautiful : homemade beauty tips,Anees Umar,Beauty,,,,,,,,,,,,,,,,,,,,
10,homemade beauty guides: facial care,cylonblast,Beauty,http://cylonblast15.blogspot.my/search/label/Privacy%20Policy,-,-,X,X,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-
